Date,EmployeeName,Plan,PolicyNumber,Premium
05.01.2023,John Doe,Gold Plan,AB-12345,150.0
05.02.2023,Jane Smith,Silver Plan,CD-67890,100.0
05.03.2023,Michael Brown,Bronze Plan,EF-10111,50.0
05.04.2023,Alice Johnson,Gold Plan,GH-12121,150.0
05.05.2023,Bob Wilson,Silver Plan,IJ-13131,100.0
05.06.2023,Carol Martinez,Bronze Plan,KL-14141,50.0
05.07.2023,David Anderson,Gold Plan,MN-15151,150.0
05.08.2023,Eva Thomas,Silver Plan,OP-16161,100.0
05.09.2023,Frank Jackson,Bronze Plan,QR-17171,50.0
05.10.2023,Grace White,Gold Plan,ST-18181,150.0
05.01.2023,John Doe, John,GoldPackage,AB12345
05.02.2023,Jane Smith, Jane,SilverPackage,CD67890
05.03.2023,Michael Brown, Michael,BronzePackage,EF10111
05.04.2023,Alice Johnson, Alice,GoldPackage,GH12121
05.05.2023,Bob Wilson, Bob,SilverPackage,IJ13131
05.06.2023,Carol Martinez, Carol,BronzePackage,KL14141
05.07.2023,David Anderson, David,GoldPackage,MN15151
05.08.2023,Eva Thomas, Eva,SilverPackage,OP16161
05.09.2023,Frank Jackson, Frank,BronzePackage,QR17171
05.10.2023,Grace White, Grace,GoldPackage,ST18181
